DEPT,APPT,"FALL
2023","FALL
2022","FALL
2021","FALL
2020","FALL
2019","FALL
2018","FALL
2017","FALL
2016","FALL
2015","FALL
2014","FALL
2013","FALL
2012","FALL
2011","FALL
2010","FALL
2009","FALL
2008","FALL
2007","FALL
2006","FALL
2005","FALL
2004","FALL
2003","FALL
2002","FALL
2001"
,Visiting,1.00,2.67,2.00,2.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.33,1.00,3.00,2.00,1.00,1.00
,Adjunct,1.33,1.00,1.66,1.33,0.66,0.33,1.00,0.66,0.33,0.33,0.33,0.41,1.00,0.33,0.33,0.33,0.33,0.00,0.33,0.33,0.33,0.67,0.67
MATH Total,,7.33,8.67,9.49,8.07,7.16,6.66,5.00,6.08,5.58,5.33,5.66,5.40,4.00,4.83,6.33,7.33,5.99,7.66,7.33,6.67,6.67,7.33,7.00
,,,,,,,,,,,,,,  *FALL 2010 - FALL 2011 ONLY:   MATH AND CS ARE LISTED SEPARATELY,,,,,,,,,,
CS*,Tenured,,,,,,,,,,,,,1.00,1.00,,,,,,,,,
,Tenure-Track,,,,,,,,,,,,,0.00,1.00,,,,,,,,,
,Visiting,,,,,,,,,,,,,0.00,0.00,,,,,,,,,
,Adjunct,,,,,,,,,,,,,0.00,0.00,,,,,,,,,
CS Total,,,,,,,,,,,,,,1.00,2.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
MLAC/FRNL,Tenured,3.42,4.00,4.41,4.33,4.66,4.33,4.67,4.33,4.33,3.33,4.00,4.00,3.66,4.66,4.00,2.00,1.66,2.33,1.67,2.33,2.33,2.50,2.00
,Tenure-Track,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.67,1.00,1.00,1.00,0.00,1.66,4.66,5.00,1.66,3.67,3.00,3.67,3.33,2.00
,Visiting,0.00,1.00,1.00,1.33,1.00,1.66,1.67,1.66,2.00,1.00,1.00,2.33,2.00,3.00,2.00,2.00,0.66,1.33,1.67,2.33,0.00,1.00,2.00
,Adjunct,1.00,0.67,0.66,1.00,1.66,0.66,0.66,0.67,0.67,0.66,0.66,0.00,0.33,0.66,0.00,0.66,1.33,0.66,1.33,1.33,1.33,0.33,0.67
MLAC/FRNL Total,,5.42,6.67,7.07,7.66,8.32,7.65,8.00,7.66,7.00,5.66,6.66,7.33,6.99,8.32,7.66,9.32,8.65,5.98,8.33,9.00,7.33,7.17,6.67
,,,,,,,,,,,,,,,,,,,,,,,,
MUS,Tenured,2.58,4.00,3.15,5.33,4.11,6.33,4.09,4.39,4.00,4.00,4.00,4.00,2.86,2.41,2.55,2.75,4.75,3.38,3.67,3.50,2.33,1.67,1.00
,Tenure-Track,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,2.05,1.75,2.33,1.67,2.00,3.33,3.00,3.00
,Visiting,1.08,1.10,0.00,0.00,0.16,0.80,0.00,1.00,1.00,1.16,1.00,1.05,1.50,3.16,3.22,1.33,1.50,1.33,0.00,0.00,0.00,0.67,0.67
,Adjunct,1.70,2.74,3.45,0.25,3.12,2.75,2.76,1.99,1.73,1.76,2.68,2.09,2.25,2.03,2.27,5.01,4.19,5.15,6.89,1.33,1.25,1.50,1.08
MUS Total,,5.36,7.84,6.60,5.58,7.39,9.88,7.85,8.38,7.73,7.92,8.68,8.14,6.61,8.60,9.04,11.14,12.19,12.19,12.22,6.83,6.92,6.83,5.75
,,,,,,,,,,,"*As of Fall 2014 - WELL placed under ""SPEC"" instead of KIN/PHED",,,,,,,,,,,,,
PHIL,Tenured,3.00,3.00,3.33,3.33,3.00,3.33,3.00,3.33,2.00,2.00,3.00,2.00,2.33,1.66,1.66,2.00,2.00,2.00,2.33,3.33,4.00,3.67,4.00
,Tenure-Track,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,1.66,1.00,2.00,1.33,0.00,0.00,0.00,0.00,0.00
,Visiting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,1.00,0.00,1.00,3.33,1.00,1.00,1.00,1.00
,Adjunct,1.33,1.33,1.33,1.33,0.66,0.66,0.66,0.67,1.33,1.33,0.66,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00
PHIL Total,,4.33,4.33,4.66,4.66,3.66,3.99,3.66,4.00,3.33,3.33,3.66,3.66,3.99,3.66,3.32,4.00,4.00,4.33,5.67,5.67,5.00,4.67,5.00
,,,,,,,,,,,,,,,,,,,,,,,,
PHYS,Tenured,1.00,1.67,1.16,2.00,3.50,3.00,3.00,3.33,3.00,2.75,2.00,3.16,3.33,1.00,1.66,1.00,1.00,0.00,1.00,1.67,1.67,2.00,2.67
,Tenure-Track,1.33,1.67,0.50,1.00,1.08,0.92,1.00,1.00,0.00,0.00,0.00,0.00,0.00,2.16,1.83,3.00,3.00,3.00,2.67,1.17,1.00,1.00,0.00
,Visiting,1.00,0.00,0.66,0.66,0.00,0.00,0.00,0.00,1.00,1.00,1.66,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.17,0.00,0.00,1.00
,Adjunct,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.33,0.00,0.67,0.67,0.00
PHYS Total,,3.33,3.34,2.82,3.66,4.58,3.92,4.00,4.33,4.00,3.75,3.66,4.16,4.33,3.16,3.82,4.33,4.00,4.00,4.00,4.00,3.33,3.67,3.67
,,,,,,,,,,,,,,,,,,,,,,,,
PLSC,Tenured,1.00,2.00,2.00,3.33,3.00,3.08,2.00,4.00,3.33,3.00,2.00,2.00,2.00,1.33,1.66,2.00,1.00,2.00,2.67,2.00,2.00,1.67,3.00
,Tenure-Track,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,2.00,2.00,0.00,1.00,1.00,2.00,1.00,0.00,2.00,1.00,0.67,1.00,1.00
,Visiting,0.00,2.00,1.33,0.83,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.33,3.00,2.00,1.00,1.67,2.00,1.00
,Adjunct,1.00,1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.33,0.33,0.00,0.67,0.33,0.00,0.00
PLSC Total,,3.00,5.00,3.66,4.16,4.00,4.08,3.00,4.00,3.33,3.66,4.00,4.00,3.00,3.33,4.32,4.66,3.66,5.33,6.67,4.67,4.67,4.67,5.00
,,,,,,,,,,,,,,,,,,,,,,,,
PSYC,Tenured,5.00,5.00,4.00,6.00,5.66,7.08,7.50,6.16,6.33,4.00,5.33,6.00,4.66,3.33,2.33,4.00,2.16,3.66,2.00,1.83,1.83,0.67,1.67
,Tenure-Track,1.00,2.67,3.50,2.66,1.00,1.00,1.00,1.00,1.00,0.67,1.00,1.00,2.00,2.00,1.66,2.16,5.00,4.00,4.67,3.00,3.67,4.00,3.67
,Visiting,1.00,0.33,0.00,0.00,0.67,0.33,0.00,1.00,1.00,2.00,2.00,2.00,1.00,3.33,3.16,3.00,2.00,4.00,4.00,5.00,2.00,1.00,0.00
,Adjunct,0.67,0.00,0.66,0.00,0.67,0.34,0.66,0.67,0.67,0.66,0.66,1.00,1.16,0.33,0.66,2.33,1.66,0.33,1.00,1.33,0.83,1.33,0.67
PSYC Total,,7.67,8.00,8.16,8.66,8.00,8.75,9.16,8.83,7.00,7.33,8.99,10.00,8.82,8.99,7.81,11.49,10.82,11.99,11.67,11.17,8.33,7.00,6.00
,,,,,,,,,,,,,,,,,,,,,,,,
RELG,Tenured,3.00,2.00,2.16,2.00,2.08,3.08,2.00,1.08,2.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00
,Tenure-Track,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,3.00,1.33,3.00,3.00,2.00,0.67,1.67,1.67,2.00,2.00
