Academic Year,Category,Subcategory,Full Time,Part Time
2020-21,,Special Admits & Auditors,0,1
2019-20,,Special Admits & Auditors,2,4
2018-19,,Special Admits & Auditors,2,4
2017-18,,Special Admits & Auditors,2,4
2016-17,,Special Admits & Auditors,8,4
2015-16,,Special Admits & Auditors,5,5
2014-15,,Special Admits & Auditors,3,4
2013-14,,Special Admits & Auditors,4,6
2012-13,,Special Admits & Auditors,4,5
2011-12,,Special Admits & Auditors,0,5
2010-11,,Special Admits & Auditors,1,5
2009-10,,Special Admits & Auditors,0,4
2008-09,,Special Admits & Auditors,0,4
2007-08,,Special Admits & Auditors,0,4
2006-07,,Special Admits & Auditors,2,7
2005-06,,Special Admits & Auditors,0,10
2004-05,,Special Admits & Auditors,0,6
2003-04,,Special Admits & Auditors,1,5
2002-03,,Special Admits & Auditors,2,6
2024-25,,TOTALS,3,7
2023-24,,TOTALS,1,6
2022-23,,TOTALS,5,8
2021-22,,TOTALS,2,10
2020-21,,TOTALS,2,7
2019-20,,TOTALS,7,17
2018-19,,TOTALS,4,17
2017-18,,TOTALS,2,8
2016-17,,TOTALS,9,16
2015-16,,TOTALS,5,11
2014-15,,TOTALS,3,16
2013-14,,TOTALS,4,19
2012-13,,TOTALS,5,22
2011-12,,TOTALS,3,16
2010-11,,TOTALS,2,13
2009-10,,TOTALS,1,15
2008-09,,TOTALS,1,14
2007-08,,TOTALS,0,16
2006-07,,TOTALS,2,22
2005-06,,TOTALS,1,25
2004-05,,TOTALS,0,14
2003-04,,TOTALS,7,17
2002-03,,TOTALS,11,27
2024-25,,GRAND TOTALS,1295,13
2023-24,,GRAND TOTALS,1336,18
2022-23,,GRAND TOTALS,1444,12
2021-22,,GRAND TOTALS,1500,23
2020-21,,GRAND TOTALS,1492,14
2019-20,,GRAND TOTALS,1455,20
2018-19,,GRAND TOTALS,1509,24
2017-18,,GRAND TOTALS,1554,14
2016-17,,GRAND TOTALS,1393,25
2015-16,,GRAND TOTALS,1359,17
2014-15,,GRAND TOTALS,1242,26
2013-14,,GRAND TOTALS,1272,35
2012-13,,GRAND TOTALS,1353,29
2011-12,,GRAND TOTALS,1492,22
2010-11,,GRAND TOTALS,1572,30
2009-10,,GRAND TOTALS,1709,29
2008-09,,GRAND TOTALS,1842,18
2007-08,,GRAND TOTALS,1916,22
2006-07,,GRAND TOTALS,1913,28
2005-06,,GRAND TOTALS,1941,38
2004-05,,GRAND TOTALS,1852,15
2003-04,,GRAND TOTALS,1706,26
