Department,Term,Average Class Size
MATH/CS,2007-Spring,13.8
MATH/CS,2007-Fall,15.2
MATH/CS,2008-Spring,11.0
MATH/CS,2008-Fall,13.0
MATH/CS,2009-Spring,10.5
MATH/CS,2009-Fall,13.8
MATH/CS,2010-Spring,13.3
MATH/CS,2010-Fall,14.2
MATH/CS,2011-Spring,12.7
MATH/CS,2011-Fall,14.5
MATH/CS,2012-Fall,13.1
MATH/CS,2013-Fall,15.1
MATH/CS,2014-Fall,15.7
MATH/CS,2015-Fall,15.5
MATH/CS,2016-Fall,19.8
MATH/CS,2017-Fall,17.3
MATH/CS,2018-Fall,18.6
MATH/CS,2019-Fall,16.1
MATH/CS,2020-Fall,14.2
MATH/CS,2021-Fall,15.4
MATH/CS,2022-Fall,12.3
MATH/CS,2023-Fall,12.0
MLAC/FRNL,2002-Fall,12.9
MLAC/FRNL,2003-Spring,9.3
MLAC/FRNL,2003-Fall,16.5
MLAC/FRNL,2004-Spring,12.0
MLAC/FRNL,2004-Fall,16.3
MLAC/FRNL,2005-Spring,13.3
MLAC/FRNL,2005-Fall,14.7
MLAC/FRNL,2006-Spring,11.2
MLAC/FRNL,2006-Fall,15.4
MLAC/FRNL,2007-Spring,12.9
MLAC/FRNL,2007-Fall,13.8
MLAC/FRNL,2008-Spring,13.3
MLAC/FRNL,2008-Fall,13.9
MLAC/FRNL,2009-Spring,12.2
MLAC/FRNL,2009-Fall,14.7
MLAC/FRNL,2010-Spring,11.8
MLAC/FRNL,2010-Fall,13.0
MLAC/FRNL,2011-Spring,11.5
MLAC/FRNL,2011-Fall,11.8
MLAC/FRNL,2012-Fall,10.2
MLAC/FRNL,2013-Fall,12.4
MLAC/FRNL,2014-Fall,13.2
MLAC/FRNL,2015-Fall,11.6
MLAC/FRNL,2016-Fall,12.5
MLAC/FRNL,2017-Fall,12.6
MLAC/FRNL,2018-Fall,12.4
MLAC/FRNL,2019-Fall,10.9
MLAC/FRNL,2020-Fall,10.9
MLAC/FRNL,2021-Fall,12.4
MLAC/FRNL,2022-Fall,8.8
MLAC/FRNL,2023-Fall,7.3
MUS,2002-Fall,10.8
MUS,2003-Spring,13.1
MUS,2003-Fall,9.6
MUS,2004-Spring,12.3
MUS,2004-Fall,12.1
MUS,2005-Spring,13.4
MUS,2005-Fall,13.5
MUS,2006-Spring,17.5
MUS,2006-Fall,25.9
MUS,2007-Spring,18.5
MUS,2007-Fall,13.6
MUS,2008-Spring,10.7
MUS,2008-Fall,11.5
MUS,2009-Spring,10.6
MUS,2009-Fall,12.4
MUS,2010-Spring,12.7
MUS,2010-Fall,18.0
